States,Latitude,Longitude,Year,Sex_Edu_Mand,HIV_STD_Edu_Mand,HR_Edu_Mand,Sex_Edu_AA_S,Sex_Edu_AA_HIV,Sex_Edu_CA_S,Sex_Edu_CA_HIV,Sex_Edu_MA_S,Sex_Edu_MA_HIV,Sex_Edu_PR,Abstinance_S,Abstinence_C,Contraceptive_C,Promote_Marriage,Sexuality,Neg_Teen_Sex,LS_Coersion,LS_RS,LS_Consent,LS_DM,LS_VP,LS_FC,HIV_Condoms_Contraception,HIV_Abstinence_S,HIV_Abstinence_C,Parent_Notif_S,Parent_Notif_HIV
New Jersey,40.298904,-74.521011,2001,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,Opt-out,Opt-out
New Mexico,34.840515,-106.248482,2001,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA
New York,42.165726,-74.948051,2001,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,Opt-out
North Carolina,35.630066,-79.806419,2001,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
North Dakota,47.528912,-99.784012,2001,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
Ohio,40.388783,-82.764915,2001,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA
Oklahoma,35.565342,-96.928917,2001,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,Opt-out,Opt-out
Oregon,44.572021,-122.070938,2001,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Pennsylvania,40.590752,-77.209755,2001,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,Opt-out
Rhode Island,41.680893,-71.51178,2001,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
South Carolina,33.856892,-80.945007,2001,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
South Dakota,44.299782,-99.438828,2001,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
Tennessee,35.747845,-86.692345,2001,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
